,stamp,name,acc,prec,recall,preval,newRecall
257,2017-05-07 07:04,stm_aasane01_03,0.9959,0.163,0.333,0.00016,True
258,2017-05-07 07:15,stm_aasane16,0.9979,0.073,0.167,0.00034,True
259,2017-05-07 07:30,stm_aasane18,0.9982,0.0,0.0,0.00019,True
260,2017-05-07 07:43,stm_sb,0.9978,0.132,0.3,0.00037,True
261,2017-05-07 07:54,stm_aasane01_03,0.9966,0.21,0.333,0.00016,True
262,2017-05-07 08:05,stm_aasane16,0.9983,0.061,0.167,0.00034,True
263,2017-05-07 08:19,stm_aasane18,0.9982,0.0,0.0,0.00019,True
264,2017-05-07 08:35,stm_sb,0.9979,0.05,0.1,0.00037,True
265,2017-05-07 08:47,stm_aasane01_03,0.9966,0.309,0.333,0.00016,True
266,2017-05-07 08:55,stm_aasane16,0.9978,0.188,0.333,0.00034,True
267,2017-05-07 09:06,stm_aasane18,0.9984,0.079,0.25,0.00019,True
268,2017-05-07 09:18,stm_sb,0.9978,0.062,0.1,0.00037,True
269,2017-05-07 09:27,stm_aasane01_03,0.9965,0.202,0.333,0.00016,True
270,2017-05-07 09:36,stm_aasane16,0.9983,0.268,0.5,0.00034,True
271,2017-05-07 09:47,stm_aasane18,0.9986,0.118,0.25,0.00019,True
272,2017-05-07 10:00,stm_sb,0.9972,0.05,0.1,0.00037,True
273,2017-05-07 10:08,stm_aasane01_03,0.9972,0.243,0.333,0.00016,True
274,2017-05-10 04:44,stm_aasane01_03,0.9863,0.041,0.333,0.00088,True
